,Dy,tau,tau_hat,conf_left,conf_right
0,-35,0.0,0.7510704400040451,-4.897178185250812,6.3993190652589025
1,-34,0.0,-0.35095978894175106,-4.251298057393643,3.549378479510141
2,-33,0.0,-0.69338750290481,-4.0168001482832825,2.630025142473663
3,-32,0.0,-2.50622240945568,-5.203790586801434,0.19134576789007296
4,-31,0.0,-1.30453216825237,-3.753930164192118,1.1448658276873778
5,-30,0.0,-0.5752309695361949,-2.7659486534582793,1.6154867143858898
6,-29,0.0,-0.8708797214491201,-2.9011239366985855,1.1593644938003456
7,-28,0.0,-0.8485315259108891,-2.7221238680840636,1.0250608162622852
8,-27,0.0,-0.695802559462884,-2.4505628213540867,1.0589577024283188
9,-26,0.0,-0.507456302310576,-2.202778976989274,1.1878663723681215
10,-25,0.0,-0.30298669760493396,-1.9081725349241112,1.3021991397142432
11,-24,0.0,-0.355210058548694,-1.879305153757755,1.1688850366603671
12,-23,0.0,-0.18165020763484102,-1.6475434473419457,1.2842430320722638
13,-22,0.0,-0.0385723031651347,-1.4259378221123007,1.3487932157820315
14,-21,0.0,0.10427629450452901,-1.2474317884707062,1.4559843774797643
15,-20,0.0,-0.11301155254926198,-1.4184153563312925,1.1923922512327687
16,-19,0.0,0.166503082417756,-1.0966762660347482,1.4296824308702603
17,-18,0.0,0.18170941632108498,-1.0588624581861485,1.4222812908283187
18,-17,0.0,0.207321986347215,-0.9965182749077449,1.4111622476021748
19,-16,0.0,0.17988289122625303,-0.9904678321779176,1.3502336146304237
20,-15,0.0,0.13472102384881302,-1.0084114420431203,1.2778534897407463
21,-14,0.0,0.139742671352495,-0.9944570351420952,1.273942377847085
22,-13,0.0,0.2151556741347,-0.9399622047934617,1.3702735530628618
23,-12,0.0,-0.0314421325681653,-1.175886155093283,1.1130018899569525
24,-11,0.0,0.0766687043032953,-1.0653426010619553,1.2186800096685457
25,-10,0.0,0.357593137875775,-0.7954900921789281,1.5106763679304782
26,-9,0.0,0.0787993248634377,-1.0721289082495853,1.2297275579764608
27,-8,0.0,0.181485236430227,-0.975276544809134,1.338247017669588
28,-7,0.0,0.0639992024583024,-1.091602066181821,1.219600471098426
29,-6,0.0,0.0571577512509658,-1.1001852572911854,1.214500759793117
30,-5,0.0,0.346562456631582,-0.8237846423377014,1.5169095556008654
31,-4,0.0,0.0302273074346285,-1.1399343427637099,1.2003889576329667
32,-3,0.0,0.0787314125457421,-1.0926468063471073,1.2501096314385916
33,-2,0.0,0.159963365820243,-1.0491092494974352,1.3690359811379214
34,-1,0.0,0.0601260562094049,-1.1506625439424392,1.2709146563612488
35,0,0.0,0.23559042558806698,-1.0577576516592146,1.5289385028353486
36,1,-40.5975267204485,-40.1769172939971,-41.673047649638946,-38.680786938355254
37,2,-38.5406850376004,-38.235862674005105,-39.650803683637285,-36.820921664372925
38,3,-36.5412164857877,-36.651114813680294,-38.04473580856866,-35.25749381879193
39,4,-34.5237898628598,-34.287582838466,-35.65600277173329,-32.91916290519871
40,5,-32.4767697348889,-32.2411456358251,-33.61844769880365,-30.863843572846548
41,6,-30.5134390366186,-30.099884325492102,-31.463453193543927,-28.736315457440277
42,7,-28.4990662745855,-28.539881556195198,-29.883157473140344,-27.196605639250052
43,8,-26.457063020460897,-26.162450822403997,-27.49958729104886,-24.825314353759133
44,9,-24.325123832529396,-24.1288033525371,-25.461174221814687,-22.796432483259515
45,10,-22.2807858319523,-22.308846341479303,-23.632502710997795,-20.98518997196081
46,11,-20.3161104163882,-20.0591599534421,-21.385135639053537,-18.733184267830666
47,12,-18.188280361352398,-18.1927100266952,-19.50146203770295,-16.883958015687448
48,13,-16.3423076482376,-16.1742224670584,-17.512327174046455,-14.836117760070344
49,14,-14.1474576317945,-13.8978303926247,-15.232383624855547,-12.563277160393852
50,15,-12.077330102105599,-12.0698532623892,-13.352928225743735,-10.786778299034665
51,16,-10.0414680848452,-9.96802622250615,-11.315793640398615,-8.620258804613686
52,17,-7.89864633234667,-8.00777242270162,-9.396161605841089,-6.6193832395621515
53,18,-5.99526739657592,-6.119844806883969,-7.509291449745677,-4.730398164022261
54,19,-3.9786849999387206,-3.37150260443919,-4.843294874930653,-1.899710333947727
55,20,-1.83887939556427,-1.42243104444374,-2.9473903449883645,0.10252825610088423
56,21,0.24224767833068803,0.17119267850453102,-1.4344091756785564,1.7767945326876184
57,22,2.12216765215351,2.95848213828681,1.297747728816049,4.619216547757571
58,23,4.93287108239939,5.4347526559068795,3.70612957895672,7.163375732857039
59,24,6.84438582646774,7.2274765383915,5.416555392690897,9.038397684092102
60,25,8.80276142199189,9.46154372437749,7.570270552336776,11.352816896418204
61,26,10.390942025229199,10.4736879907543,8.447398213284034,12.499977768224566
62,27,11.9953370580232,11.7547354777719,9.623621132326956,13.885849823216844
63,28,14.513135247720802,14.109523896965301,11.87218373728765,16.346864056642953
64,29,17.0179562735495,16.9401555630243,14.448459566964285,19.43185155908432
65,30,18.262687376189,18.806283617655602,16.046731867603192,21.56583536770801
66,31,21.1280468033212,21.897044586819,18.74643248975893,25.04765668387907
67,32,24.7203756045869,25.038528140546898,21.20596889342998,28.871087387663817
68,33,23.0154001648118,22.8783832672858,18.864487376587178,26.89227915798442
69,34,25.509805693130897,27.029080741294305,21.35565245061123,32.70250903197738
70,35,31.693597055905105,31.744263226091498,23.071898700967907,40.41662775121509
